Region,Product_Type,Sales_Amount,Payment_Method,Transaction_Time
North,Electronics,464,Bitcoin,9:00 AM
South,Groceries,77,PayPal,10:00 AM
West,Toys,185,Bitcoin,12:00 PM
North,Electronics,974,Bitcoin,4:00 PM
West,Toys,454,Cash,1:00 PM
North,Clothing,937,Bitcoin,3:00 PM
South,Clothing,554,PayPal,10:00 AM
East,Electronics,290,Cash,4:00 PM
North,Toys,905,Bitcoin,1:00 PM
West,Clothing,493,Cash,12:00 PM
South,Groceries,483,PayPal,5:00 PM
North,Furniture,277,Cash,2:00 PM
West,Furniture,558,PayPal,12:00 PM
West,Clothing,848,Debit Card,4:00 PM
West,Toys,352,Bitcoin,11:00 AM
North,Clothing,83,PayPal,9:00 PM
North,Toys,51,Bitcoin,6:00 PM
North,Groceries,411,PayPal,10:00 AM
East,Toys,244,Credit Card,3:00 PM
North,Clothing,655,Credit Card,8:00 PM
North,Groceries,889,Credit Card,12:00 PM
North,Electronics,357,PayPal,12:00 PM
East,Furniture,696,Bitcoin,6:00 PM
North,Clothing,765,Credit Card,5:00 PM
West,Clothing,299,Bitcoin,10:00 AM
North,Clothing,196,PayPal,9:00 AM
West,Groceries,395,Bitcoin,3:00 PM
West,Electronics,397,Bitcoin,8:00 PM
West,Toys,303,Credit Card,4:00 PM
East,Electronics,448,Cash,11:00 AM
East,Groceries,383,Debit Card,10:00 AM
East,Clothing,225,PayPal,12:00 PM
North,Furniture,174,PayPal,10:00 AM
West,Clothing,812,PayPal,8:00 PM
East,Toys,447,Debit Card,10:00 AM
East,Furniture,180,Cash,1:00 PM
North,Clothing,611,Bitcoin,6:00 PM
East,Furniture,654,PayPal,1:00 PM
North,Electronics,941,Bitcoin,4:00 PM
South,Groceries,871,Credit Card,5:00 PM
East,Clothing,951,Credit Card,10:00 AM
South,Toys,994,Credit Card,9:00 AM
North,Electronics,456,PayPal,11:00 AM
West,Clothing,781,Debit Card,2:00 PM
East,Electronics,895,PayPal,1:00 PM
North,Toys,383,Credit Card,4:00 PM
West,Clothing,69,Credit Card,4:00 PM
West,Toys,254,PayPal,10:00 AM
South,Furniture,652,Debit Card,5:00 PM
North,Toys,404,Debit Card,12:00 PM
West,Furniture,222,Bitcoin,9:00 AM
East,Clothing,238,Cash,10:00 AM
East,Furniture,873,Credit Card,7:00 PM
South,Clothing,51,Debit Card,2:00 PM
West,Clothing,922,Credit Card,1:00 PM
North,Groceries,990,Cash,8:00 PM
East,Clothing,217,Credit Card,3:00 PM
West,Furniture,417,Debit Card,5:00 PM
West,Groceries,585,Bitcoin,2:00 PM
South,Groceries,974,PayPal,2:00 PM
East,Clothing,926,PayPal,10:00 AM
East,Toys,629,Debit Card,3:00 PM
North,Toys,419,Debit Card,10:00 AM
East,Groceries,755,Cash,9:00 PM
North,Clothing,645,Credit Card,3:00 PM
East,Toys,999,Cash,4:00 PM
South,Clothing,486,PayPal,8:00 PM
East,Clothing,256,Credit Card,9:00 AM
North,Groceries,98,Cash,5:00 PM
North,Groceries,593,PayPal,4:00 PM
South,Electronics,878,Credit Card,5:00 PM
East,Toys,731,Bitcoin,1:00 PM
East,Toys,178,Bitcoin,9:00 PM
South,Toys,496,Cash,12:00 PM
East,Furniture,663,Debit Card,9:00 AM
East,Clothing,84,Credit Card,5:00 PM
North,Groceries,868,Cash,12:00 PM
East,Toys,248,Debit Card,12:00 PM
East,Electronics,862,Debit Card,12:00 PM
South,Toys,126,Credit Card,10:00 AM
South,Clothing,418,Credit Card,8:00 PM
West,Clothing,882,Debit Card,7:00 PM
North,Groceries,575,PayPal,9:00 PM
East,Furniture,398,Cash,12:00 PM
East,Groceries,555,Credit Card,10:00 AM
West,Toys,692,Debit Card,4:00 PM
East,Electronics,287,PayPal,3:00 PM
North,Groceries,329,Bitcoin,7:00 PM
West,Furniture,626,Debit Card,6:00 PM
North,Groceries,481,PayPal,10:00 AM
West,Clothing,187,Bitcoin,10:00 AM
West,Toys,318,PayPal,10:00 AM
South,Toys,789,Credit Card,9:00 AM
North,Toys,250,Debit Card,9:00 PM
East,Toys,191,Bitcoin,2:00 PM
East,Toys,661,PayPal,2:00 PM
North,Toys,699,Bitcoin,9:00 AM
East,Electronics,729,Cash,7:00 PM
East,Furniture,968,Debit Card,9:00 AM
North,Toys,660,Credit Card,2:00 PM
West,Furniture,872,Bitcoin,7:00 PM
North,Toys,880,PayPal,2:00 PM
West,Groceries,888,Bitcoin,12:00 PM
East,Toys,987,PayPal,11:00 AM
East,Clothing,404,Bitcoin,5:00 PM
East,Electronics,627,Credit Card,2:00 PM
South,Groceries,896,Credit Card,9:00 AM
West,Groceries,378,Debit Card,11:00 AM
South,Clothing,608,Credit Card,9:00 AM
South,Toys,898,Bitcoin,11:00 AM
North,Electronics,943,Bitcoin,10:00 AM
South,Groceries,280,Credit Card,1:00 PM
North,Electronics,357,Cash,11:00 AM
North,Groceries,707,Bitcoin,3:00 PM
South,Toys,768,Debit Card,4:00 PM
West,Groceries,195,Cash,3:00 PM
West,Groceries,201,Credit Card,10:00 AM
West,Furniture,840,PayPal,6:00 PM
West,Toys,189,Bitcoin,6:00 PM
West,Clothing,712,PayPal,3:00 PM
South,Clothing,70,Debit Card,6:00 PM
South,Toys,303,Cash,11:00 AM
East,Clothing,113,PayPal,3:00 PM
West,Toys,267,Debit Card,9:00 AM
South,Clothing,121,PayPal,10:00 AM
East,Furniture,211,PayPal,8:00 PM
West,Clothing,179,Debit Card,6:00 PM
North,Groceries,630,Bitcoin,9:00 AM
East,Toys,976,PayPal,5:00 PM
South,Electronics,274,Debit Card,9:00 PM
North,Electronics,807,PayPal,9:00 PM
North,Toys,629,Bitcoin,10:00 AM
North,Furniture,503,Debit Card,10:00 AM
East,Clothing,964,PayPal,2:00 PM
South,Furniture,433,Credit Card,3:00 PM
North,Electronics,156,Bitcoin,9:00 PM
West,Toys,670,PayPal,10:00 AM
North,Toys,889,Cash,12:00 PM
North,Furniture,152,Debit Card,11:00 AM
East,Furniture,190,PayPal,9:00 PM
East,Clothing,626,Bitcoin,1:00 PM
South,Groceries,183,Bitcoin,5:00 PM
West,Groceries,248,Cash,10:00 AM
East,Clothing,929,Cash,9:00 PM
North,Groceries,559,PayPal,1:00 PM
South,Electronics,716,Credit Card,4:00 PM
North,Groceries,128,Bitcoin,2:00 PM
North,Clothing,997,Credit Card,12:00 PM
East,Groceries,943,Credit Card,6:00 PM
South,Toys,531,PayPal,4:00 PM
West,Furniture,561,Debit Card,11:00 AM
West,Electronics,299,Debit Card,12:00 PM
East,Toys,938,Debit Card,7:00 PM
East,Toys,648,Cash,5:00 PM
South,Clothing,865,Bitcoin,1:00 PM
West,Furniture,802,Cash,2:00 PM
West,Furniture,649,Bitcoin,8:00 PM
West,Electronics,532,Bitcoin,7:00 PM
North,Clothing,885,Bitcoin,10:00 AM
West,Electronics,221,PayPal,5:00 PM
North,Groceries,918,Debit Card,4:00 PM
South,Toys,66,Cash,3:00 PM
North,Electronics,784,Cash,5:00 PM
South,Toys,343,PayPal,1:00 PM
West,Clothing,443,Bitcoin,1:00 PM
West,Groceries,871,Debit Card,7:00 PM
South,Clothing,547,Credit Card,7:00 PM
East,Groceries,268,Credit Card,5:00 PM
South,Groceries,283,PayPal,7:00 PM
East,Toys,439,Debit Card,1:00 PM
North,Clothing,297,Credit Card,5:00 PM
North,Clothing,951,Credit Card,9:00 AM
North,Electronics,101,Cash,6:00 PM
West,Clothing,64,Debit Card,6:00 PM
North,Electronics,373,Credit Card,7:00 PM
East,Furniture,490,Cash,4:00 PM
North,Furniture,161,Debit Card,11:00 AM
South,Furniture,745,Bitcoin,9:00 PM
South,Clothing,921,Debit Card,4:00 PM
West,Clothing,56,PayPal,1:00 PM
South,Electronics,612,Cash,10:00 AM
East,Groceries,875,Bitcoin,5:00 PM
North,Electronics,802,Cash,12:00 PM
West,Furniture,294,Cash,3:00 PM
North,Electronics,497,Credit Card,8:00 PM
North,Groceries,414,Debit Card,4:00 PM
East,Clothing,416,Cash,3:00 PM
South,Electronics,971,Cash,7:00 PM
South,Furniture,747,PayPal,2:00 PM
North,Furniture,336,PayPal,8:00 PM
West,Clothing,653,PayPal,3:00 PM
South,Electronics,155,Cash,12:00 PM
West,Groceries,62,Bitcoin,6:00 PM
South,Clothing,195,Debit Card,9:00 AM
West,Electronics,527,Cash,1:00 PM
East,Toys,680,Credit Card,4:00 PM
West,Furniture,764,Bitcoin,6:00 PM
East,Groceries,702,Bitcoin,2:00 PM
East,Groceries,164,Debit Card,1:00 PM
West,Groceries,558,Bitcoin,10:00 AM
East,Furniture,201,Debit Card,6:00 PM
North,Electronics,106,Bitcoin,8:00 PM
East,Clothing,431,Debit Card,1:00 PM
South,Electronics,206,PayPal,6:00 PM
West,Clothing,871,PayPal,8:00 PM
North,Groceries,182,Bitcoin,11:00 AM
West,Electronics,212,Bitcoin,9:00 PM
South,Groceries,324,Debit Card,10:00 AM
South,Toys,744,Debit Card,11:00 AM
South,Groceries,126,Cash,12:00 PM
East,Groceries,886,PayPal,10:00 AM
East,Clothing,93,Cash,12:00 PM
West,Toys,767,Cash,12:00 PM
West,Groceries,599,Credit Card,2:00 PM
North,Groceries,367,Debit Card,8:00 PM
North,Toys,583,Credit Card,1:00 PM
West,Toys,634,Credit Card,3:00 PM
East,Electronics,802,Cash,7:00 PM
South,Clothing,985,Credit Card,3:00 PM
West,Toys,203,Debit Card,11:00 AM
North,Toys,286,Cash,5:00 PM
East,Furniture,942,Debit Card,3:00 PM
West,Toys,566,Bitcoin,3:00 PM
West,Clothing,270,Credit Card,10:00 AM
East,Groceries,359,Cash,8:00 PM
West,Groceries,647,PayPal,6:00 PM
East,Groceries,226,Debit Card,11:00 AM
South,Groceries,820,Credit Card,11:00 AM
East,Furniture,269,Debit Card,8:00 PM
East,Toys,87,Debit Card,9:00 PM
East,Groceries,703,Bitcoin,2:00 PM
West,Electronics,480,Debit Card,12:00 PM
West,Groceries,959,Bitcoin,12:00 PM
East,Toys,796,Bitcoin,9:00 AM
West,Groceries,252,Bitcoin,2:00 PM
North,Furniture,890,Credit Card,4:00 PM
North,Clothing,855,Debit Card,4:00 PM
West,Clothing,497,Debit Card,4:00 PM
West,Toys,544,Bitcoin,1:00 PM
East,Clothing,733,Debit Card,6:00 PM
South,Clothing,174,Debit Card,2:00 PM
West,Electronics,887,Bitcoin,1:00 PM
North,Toys,114,PayPal,12:00 PM
East,Toys,842,PayPal,8:00 PM
West,Clothing,833,Bitcoin,12:00 PM
North,Clothing,293,Credit Card,12:00 PM
North,Clothing,576,Debit Card,12:00 PM
South,Furniture,275,Debit Card,2:00 PM
East,Groceries,514,PayPal,2:00 PM
East,Furniture,692,Bitcoin,1:00 PM
South,Toys,756,Credit Card,8:00 PM
South,Electronics,342,Bitcoin,7:00 PM
East,Groceries,770,PayPal,7:00 PM
East,Electronics,430,PayPal,5:00 PM
West,Toys,674,Debit Card,4:00 PM
West,Toys,805,Cash,6:00 PM
South,Electronics,215,Credit Card,2:00 PM
West,Electronics,752,Credit Card,7:00 PM
North,Electronics,818,Cash,5:00 PM
West,Toys,888,PayPal,1:00 PM
West,Clothing,267,Bitcoin,6:00 PM
North,Electronics,920,Credit Card,12:00 PM
South,Groceries,324,Cash,2:00 PM
North,Toys,101,Debit Card,12:00 PM
West,Furniture,423,Debit Card,4:00 PM
South,Furniture,719,PayPal,3:00 PM
West,Groceries,412,Credit Card,1:00 PM
North,Clothing,616,Bitcoin,6:00 PM
North,Electronics,63,Credit Card,2:00 PM
West,Toys,830,Debit Card,7:00 PM
East,Electronics,389,Credit Card,3:00 PM
East,Toys,651,Debit Card,10:00 AM
North,Furniture,588,Cash,5:00 PM
North,Electronics,138,Cash,3:00 PM
East,Groceries,954,Debit Card,4:00 PM
East,Clothing,90,Bitcoin,1:00 PM
West,Groceries,353,Bitcoin,11:00 AM
West,Clothing,317,Credit Card,10:00 AM
East,Electronics,187,Debit Card,10:00 AM
West,Electronics,55,PayPal,11:00 AM
West,Clothing,291,Bitcoin,9:00 AM
South,Furniture,211,Bitcoin,9:00 AM
West,Toys,741,Cash,3:00 PM
North,Groceries,858,Bitcoin,6:00 PM
West,Groceries,567,Bitcoin,8:00 PM
West,Groceries,947,Bitcoin,7:00 PM
East,Electronics,832,Debit Card,4:00 PM
North,Groceries,450,Debit Card,2:00 PM
West,Toys,833,Cash,3:00 PM
West,Toys,205,Credit Card,9:00 AM
South,Clothing,134,Bitcoin,9:00 AM
West,Electronics,761,Credit Card,5:00 PM
West,Toys,59,Debit Card,1:00 PM
South,Furniture,187,Bitcoin,3:00 PM
East,Electronics,803,Credit Card,2:00 PM
West,Electronics,955,Credit Card,12:00 PM
South,Toys,762,PayPal,9:00 AM
North,Furniture,205,Debit Card,12:00 PM
East,Clothing,457,Cash,6:00 PM
North,Toys,836,Cash,6:00 PM
North,Furniture,274,PayPal,4:00 PM
South,Electronics,629,Credit Card,9:00 PM
West,Furniture,233,PayPal,8:00 PM
South,Electronics,244,PayPal,7:00 PM
South,Toys,603,Debit Card,9:00 PM
South,Toys,445,Bitcoin,9:00 AM
South,Groceries,963,Credit Card,10:00 AM
East,Groceries,712,Cash,4:00 PM
West,Groceries,645,Cash,10:00 AM
North,Toys,183,PayPal,7:00 PM
North,Clothing,358,PayPal,9:00 PM
West,Toys,915,PayPal,8:00 PM
North,Furniture,859,Credit Card,6:00 PM
West,Toys,591,PayPal,5:00 PM
North,Toys,58,PayPal,11:00 AM
South,Electronics,219,Bitcoin,11:00 AM
North,Electronics,339,Credit Card,2:00 PM
West,Electronics,217,Debit Card,11:00 AM
West,Toys,393,Debit Card,5:00 PM
West,Clothing,546,Bitcoin,7:00 PM
West,Furniture,194,Cash,4:00 PM
West,Furniture,462,Debit Card,12:00 PM
East,Clothing,789,Credit Card,2:00 PM
East,Clothing,867,Cash,4:00 PM
North,Furniture,637,PayPal,12:00 PM
West,Groceries,784,Credit Card,9:00 PM
North,Electronics,738,Cash,1:00 PM
West,Electronics,506,Debit Card,3:00 PM
West,Furniture,750,PayPal,4:00 PM
East,Clothing,351,PayPal,3:00 PM
East,Groceries,95,Credit Card,4:00 PM
South,Furniture,943,PayPal,12:00 PM
East,Electronics,66,Cash,9:00 AM
South,Toys,627,Bitcoin,2:00 PM
South,Clothing,409,Debit Card,1:00 PM
South,Toys,310,Credit Card,7:00 PM
South,Furniture,172,Bitcoin,12:00 PM
South,Electronics,280,Bitcoin,10:00 AM
North,Groceries,999,Credit Card,9:00 AM
East,Toys,686,Cash,5:00 PM
South,Groceries,161,Debit Card,8:00 PM
West,Electronics,833,Credit Card,10:00 AM
East,Toys,642,Bitcoin,5:00 PM
East,Groceries,295,Bitcoin,2:00 PM
South,Groceries,908,Credit Card,9:00 PM
North,Toys,440,Bitcoin,2:00 PM
South,Electronics,441,Credit Card,10:00 AM
North,Groceries,377,Credit Card,2:00 PM
West,Furniture,264,Debit Card,11:00 AM
East,Toys,913,Credit Card,3:00 PM
West,Clothing,796,Bitcoin,9:00 PM
North,Clothing,416,PayPal,6:00 PM
North,Electronics,131,Debit Card,12:00 PM
West,Furniture,855,Bitcoin,5:00 PM
North,Groceries,871,Bitcoin,1:00 PM
West,Clothing,125,Debit Card,8:00 PM
East,Electronics,576,Debit Card,6:00 PM
West,Furniture,781,Bitcoin,11:00 AM
East,Furniture,552,PayPal,9:00 AM
West,Electronics,791,Cash,9:00 AM
North,Electronics,995,Bitcoin,9:00 PM
West,Groceries,528,Debit Card,12:00 PM
North,Electronics,421,Credit Card,6:00 PM
West,Groceries,314,Credit Card,6:00 PM
West,Groceries,313,Debit Card,12:00 PM
South,Toys,159,Debit Card,5:00 PM
North,Furniture,964,Cash,4:00 PM
South,Furniture,356,Debit Card,12:00 PM
North,Furniture,249,Credit Card,2:00 PM
South,Toys,275,PayPal,3:00 PM
East,Groceries,234,Debit Card,6:00 PM
West,Groceries,80,Cash,4:00 PM
North,Electronics,663,PayPal,12:00 PM
North,Toys,820,Cash,9:00 AM
West,Electronics,148,PayPal,1:00 PM
North,Toys,388,Debit Card,9:00 AM
North,Electronics,860,Credit Card,7:00 PM
South,Clothing,846,PayPal,7:00 PM
North,Furniture,315,Bitcoin,12:00 PM
East,Furniture,701,Cash,3:00 PM
East,Groceries,863,PayPal,3:00 PM
West,Clothing,847,Cash,9:00 AM
North,Furniture,399,Credit Card,5:00 PM
West,Groceries,777,Cash,10:00 AM
East,Clothing,593,Cash,1:00 PM
North,Furniture,506,Bitcoin,2:00 PM
North,Electronics,864,Cash,9:00 AM
West,Toys,137,PayPal,8:00 PM
East,Clothing,112,Cash,10:00 AM
North,Groceries,971,Debit Card,3:00 PM
West,Clothing,436,Cash,2:00 PM
East,Groceries,840,Debit Card,2:00 PM
West,Clothing,508,Cash,2:00 PM
South,Groceries,635,Cash,3:00 PM
North,Furniture,867,PayPal,6:00 PM
South,Electronics,981,Debit Card,8:00 PM
East,Furniture,685,Debit Card,8:00 PM
South,Electronics,318,Bitcoin,5:00 PM
South,Furniture,943,Cash,5:00 PM
East,Furniture,846,Cash,10:00 AM
West,Clothing,983,PayPal,10:00 AM
South,Toys,682,Bitcoin,1:00 PM
West,Groceries,395,Bitcoin,6:00 PM
South,Groceries,773,PayPal,3:00 PM
West,Groceries,950,Debit Card,8:00 PM
East,Electronics,709,Credit Card,8:00 PM
South,Groceries,127,PayPal,9:00 PM
East,Groceries,414,Debit Card,11:00 AM
South,Clothing,63,Bitcoin,11:00 AM
East,Furniture,185,PayPal,12:00 PM
East,Groceries,353,Credit Card,11:00 AM
South,Toys,446,Cash,11:00 AM
South,Groceries,841,PayPal,4:00 PM
South,Electronics,128,Credit Card,3:00 PM
North,Electronics,804,Credit Card,9:00 PM
West,Electronics,754,PayPal,3:00 PM
North,Groceries,467,Debit Card,6:00 PM
North,Clothing,291,PayPal,10:00 AM
East,Toys,100,Bitcoin,7:00 PM
South,Groceries,793,Credit Card,5:00 PM
West,Clothing,820,Credit Card,9:00 PM
East,Clothing,433,Cash,2:00 PM
North,Groceries,424,Credit Card,11:00 AM
South,Groceries,779,Cash,5:00 PM
East,Clothing,255,Credit Card,5:00 PM
South,Clothing,875,Credit Card,2:00 PM
East,Clothing,538,PayPal,9:00 PM
South,Groceries,430,PayPal,6:00 PM
North,Clothing,930,Bitcoin,2:00 PM
West,Electronics,360,Debit Card,4:00 PM
North,Groceries,424,Bitcoin,4:00 PM
West,Electronics,681,Credit Card,2:00 PM
South,Furniture,641,Bitcoin,3:00 PM
East,Groceries,91,PayPal,12:00 PM
North,Furniture,582,Credit Card,9:00 AM
West,Clothing,571,Credit Card,12:00 PM
North,Clothing,874,Bitcoin,4:00 PM
West,Toys,202,Cash,8:00 PM
North,Clothing,361,Debit Card,9:00 PM
West,Furniture,343,Bitcoin,4:00 PM
West,Clothing,647,Bitcoin,10:00 AM
South,Groceries,162,Debit Card,3:00 PM
West,Clothing,750,Credit Card,9:00 PM
South,Toys,161,Credit Card,9:00 AM
West,Clothing,224,Cash,10:00 AM
East,Furniture,871,Bitcoin,4:00 PM
East,Furniture,351,Debit Card,7:00 PM
East,Clothing,565,Bitcoin,6:00 PM
West,Furniture,783,PayPal,9:00 PM
South,Furniture,270,Bitcoin,9:00 PM
South,Toys,220,Bitcoin,12:00 PM
West,Groceries,367,PayPal,11:00 AM
East,Toys,262,PayPal,10:00 AM
East,Electronics,302,Debit Card,7:00 PM
South,Toys,173,Credit Card,2:00 PM
East,Clothing,689,Cash,12:00 PM
North,Groceries,262,PayPal,11:00 AM
South,Clothing,673,Credit Card,11:00 AM
East,Electronics,134,Debit Card,6:00 PM
South,Groceries,565,Bitcoin,11:00 AM
North,Furniture,114,Debit Card,8:00 PM
South,Toys,367,Debit Card,4:00 PM
South,Clothing,395,PayPal,5:00 PM
South,Electronics,681,Cash,5:00 PM
South,Furniture,292,PayPal,1:00 PM
North,Toys,947,Bitcoin,9:00 AM
West,Furniture,186,PayPal,6:00 PM
South,Toys,296,Bitcoin,1:00 PM
South,Groceries,490,PayPal,9:00 AM
East,Furniture,94,Cash,5:00 PM
South,Furniture,707,Credit Card,9:00 PM
East,Furniture,929,Cash,6:00 PM
West,Groceries,737,PayPal,9:00 PM
North,Electronics,603,Debit Card,4:00 PM
North,Toys,858,Credit Card,3:00 PM
West,Furniture,138,Debit Card,10:00 AM
North,Groceries,779,Cash,10:00 AM
West,Electronics,277,Credit Card,12:00 PM
West,Toys,859,PayPal,5:00 PM
West,Groceries,340,Debit Card,5:00 PM
North,Toys,471,PayPal,4:00 PM
East,Furniture,116,Bitcoin,7:00 PM
West,Electronics,300,Credit Card,1:00 PM
South,Groceries,90,Debit Card,3:00 PM
North,Electronics,148,Cash,8:00 PM
West,Furniture,355,Cash,5:00 PM
West,Electronics,921,Cash,11:00 AM
South,Electronics,903,Cash,12:00 PM
East,Clothing,505,Debit Card,10:00 AM
East,Electronics,640,Bitcoin,5:00 PM
East,Toys,350,Cash,3:00 PM
West,Groceries,248,Cash,2:00 PM
West,Clothing,708,Cash,1:00 PM
West,Groceries,537,Bitcoin,8:00 PM
North,Groceries,155,Credit Card,3:00 PM
South,Furniture,450,Cash,11:00 AM
West,Furniture,754,Cash,1:00 PM
South,Clothing,526,Cash,10:00 AM
South,Furniture,171,Credit Card,1:00 PM
East,Furniture,126,Cash,3:00 PM
North,Furniture,361,Credit Card,7:00 PM
West,Groceries,161,Credit Card,6:00 PM
East,Clothing,910,PayPal,7:00 PM
East,Groceries,858,PayPal,3:00 PM
West,Toys,731,Cash,5:00 PM
South,Groceries,567,Debit Card,11:00 AM
East,Toys,246,PayPal,4:00 PM
South,Electronics,147,PayPal,1:00 PM
North,Electronics,508,Debit Card,3:00 PM
South,Toys,890,Bitcoin,9:00 AM
North,Toys,279,Cash,9:00 AM
South,Groceries,217,Bitcoin,12:00 PM
East,Toys,858,Bitcoin,1:00 PM
East,Clothing,826,Credit Card,9:00 PM
North,Electronics,57,Credit Card,6:00 PM
West,Electronics,221,Cash,11:00 AM
North,Toys,409,Debit Card,2:00 PM
North,Furniture,244,Credit Card,11:00 AM
South,Furniture,318,PayPal,1:00 PM
South,Toys,68,Cash,7:00 PM
North,Clothing,403,Bitcoin,9:00 PM
East,Furniture,913,Cash,9:00 AM
South,Toys,98,Credit Card,11:00 AM
West,Clothing,513,Debit Card,3:00 PM
South,Clothing,405,Bitcoin,11:00 AM
South,Groceries,899,Debit Card,1:00 PM
West,Clothing,207,Cash,3:00 PM
North,Furniture,115,Debit Card,9:00 PM
West,Furniture,908,Debit Card,10:00 AM
North,Toys,620,Cash,11:00 AM
North,Toys,870,Bitcoin,12:00 PM
North,Clothing,357,Debit Card,1:00 PM
West,Electronics,386,Debit Card,8:00 PM
North,Groceries,720,Cash,5:00 PM
