product_id,productname,supplier_id,price,quantityonhand,markuppercentage,reorderlevel
28748,Rampage Pro8994,1042050,1601866,96911,202957,72099
79499,Airborne X8089,1023714,2304666,98831,279848,48763
15998,Park Master8527,1016669,2109849,111761,279684,58191
67542,Rampage Pro5192,1024518,3007323,127058,295096,79560
22494,Freestyle Pro8417,1013878,2103222,23543,201229,51406
63192,Airborne X1302,1035764,2805915,118735,289376,58022
36221,Classic Street8648,1031660,1601224,51451,209755,62355
12632,Classic Street6744,1043373,1906521,118744,286800,63043
123362,Downhill Racer5127,1033576,2806660,65917,295011,52912
41893,Airborne X9342,1013124,1905420,72571,209175,67312
124048,Airborne X5460,1024831,3001965,89834,333338,64087
109911,Park Master6605,1045122,2804819,27651,275263,81165
76015,Velocity Max8357,1013260,2501784,152529,274480,65131
59870,Street King5877,1044799,2508272,79070,201999,84823
101844,Velocity Max9689,1024086,2707018,79375,208993,69651
44025,Cruiser Deluxe3742,1028794,1506519,117188,209840,62974
48746,Park Master9158,1025377,2004922,67584,355517,89897
78852,Velocity Max5553,1039750,2804177,117312,255843,49025
73784,Speed Demon3995,1017520,2204516,78216,293941,66737
118490,Downhill Racer4055,1021904,1901634,111118,257795,55477
53078,Park Master4999,1029649,1804393,104994,206086,51359
97359,Airborne X7381,1045549,2505779,82456,303442,75936
129579,Airborne X4331,1033195,2806109,29430,209754,68261
87436,Airborne X5508,1027522,2008189,107929,332900,54781
48561,Cruiser Deluxe9331,1017664,2303374,108781,301010,53678
128637,Cruiser Deluxe1740,1041708,2704124,74674,227858,51513
55757,Thunderbolt7962,1022171,3003746,23241,276498,45306
102170,Velocity Max2195,1012059,2102835,105221,359379,67825
103357,Classic Street2363,1049425,2809883,83150,274118,57405
84742,Classic Street4734,1042127,1903641,66191,297474,69867
16594,Downhill Racer2538,1033420,1605621,111258,284612,66360
58023,Cruiser Deluxe2478,1014938,1608886,28174,275941,72320
124276,Urban Cruiser8543,1041775,2006369,74694,291064,55077
108877,Urban Cruiser4805,1044946,1503841,27518,287789,52063
107503,Classic Street2634,1037337,2209473,117501,209655,65925
104671,Downhill Racer9254,1043675,1504904,128967,257465,65929
128079,Thunderbolt7521,1023296,1605634,124228,202263,61152
115956,Park Master5414,1037946,2508815,105579,222991,57130
61806,Rampage Pro3034,1042569,3009815,28993,331016,66150
52975,Airborne X7541,1038579,2308003,102869,203247,56582
11302,Street King1636,1034770,2501308,79035,272319,65210
23203,Velocity Max7123,1029367,3008931,94646,206773,83524
31616,Classic Street7234,1042163,1603506,83321,274362,65363
114082,Cruiser Deluxe9245,1016003,2507196,123760,283198,57243
79152,Speed Demon9921,1012321,1806922,124137,294019,62624
17384,Park Master1068,1027593,2104547,66658,277236,83532
97241,Freestyle Pro7869,1042557,2806423,96316,281408,63464
124761,Velocity Max5704,1031261,1601233,152053,332788,61715
37773,Street King5398,1036856,1905918,122688,297486,73652
126286,Velocity Max1914,1043348,1501489,104772,225386,57642
62543,Thunderbolt2303,1026221,1808400,106116,282319,58173
119391,Rampage Pro4194,1037007,3007255,84563,322349,65393
96290,Thunderbolt6672,1046840,1902835,128793,203198,55826
14934,Downhill Racer9876,1043006,2109089,103462,338392,59874
123135,Speed Demon3649,1045552,1907200,67109,289627,43192
18794,Speed Demon9094,1022612,2102267,27581,355740,57787
65914,Airborne X5105,1049113,2109724,122099,273082,69151
72551,Freestyle Pro2582,1014314,2305233,127385,282211,65916
38926,Freestyle Pro5107,1021627,2804412,53320,206829,51202
61982,Thunderbolt2825,1033632,2308865,129550,279598,88441
18277,Downhill Racer6155,1019168,2801418,91074,251934,55589
15296,Downhill Racer2736,1039240,1508233,76804,356805,59092
41948,Freestyle Pro4918,1035971,1906542,84152,271647,62204
98071,Speed Demon2518,1021248,2106679,107054,209509,57825
73657,Street King4467,1016986,1809782,157430,271296,65173
87474,Park Master5464,1043844,2103281,58715,284449,52370
16985,Street King8868,1039276,1608715,124173,297351,51686
104034,Cruiser Deluxe5377,1042749,1603448,102073,295835,55905
33293,Thunderbolt9840,1041407,2003134,151915,355166,61915
75983,Airborne X4403,1042532,2109570,159763,253937,56900
44631,Street King3000,1032898,3001329,106833,329091,67747
67288,Park Master8512,1031629,2801588,94763,332704,77900
14527,Thunderbolt1414,1013651,1508089,116461,304485,67422
91848,Cruiser Deluxe8353,1034200,2509523,77321,225018,48322
44610,Cruiser Deluxe6386,1036237,2006533,121842,295299,71375
27787,Velocity Max8956,1042016,2506121,57043,322496,74790
116034,Cruiser Deluxe2748,1024065,1604213,56640,278194,69092
85105,Speed Demon9320,1028448,1903483,26490,288431,65339
66651,Street King9837,1014727,2005770,123739,277372,59110
22547,Classic Street7086,1039331,2109747,22813,252881,67696
12366,Speed Demon7998,1035186,2001994,112420,271983,62553
111243,Park Master4503,1046002,2104345,157734,279824,64209
62587,Cruiser Deluxe5303,1019463,2303028,159304,355518,72576
129909,Freestyle Pro8210,1047125,2106289,101508,292698,78111
94200,Street King8618,1019172,1809108,59806,293375,63537
121364,Downhill Racer7648,1047864,1907934,94202,309563,75372
46375,Rampage Pro5543,1038258,2208446,125274,301848,88441
56436,Freestyle Pro5186,1023383,2801906,108296,205933,52456
32068,Freestyle Pro3244,1032289,2309789,157240,209956,87371
12329,Urban Cruiser5855,1018383,2802747,81765,304630,61991
88962,Downhill Racer2157,1029879,1802679,119990,274205,89086
119548,Classic Street2119,1015791,1509599,102864,229760,63700
12806,Downhill Racer1511,1038573,1809875,86649,223660,75992
91535,Velocity Max2971,1049787,2308508,55624,308371,53472
42926,Rampage Pro3962,1037988,2002091,155247,201936,58354
87040,Airborne X8513,1033310,2505450,158508,352978,89485
113727,Park Master7479,1045292,2202411,68952,208268,64597
43295,Freestyle Pro2635,1043451,2801702,119276,283612,53898
103706,Rampage Pro1042,1011100,1605125,21586,275285,54317
109902,Velocity Max6823,1018119,2808553,127836,203705,57379
88019,Freestyle Pro5246,1048043,2701818,107681,274269,53974
126698,Classic Street9078,1015234,2503157,79651,295084,82873
106693,Rampage Pro2877,1049281,2307461,81224,229110,55546
111234,Airborne X5762,1038508,1805633,101472,355103,63795
14080,Downhill Racer9105,1042536,1904392,99616,334450,63375
83276,Park Master6466,1047109,2803353,108861,206905,67757
129363,Park Master3882,1029304,2009018,125955,274487,77713
129530,Cruiser Deluxe7182,1037528,2303931,111015,255831,41908
38479,Street King9170,1019663,2204368,117880,277128,51058
43822,Speed Demon9298,1022812,2705288,124626,327933,64891
115098,Rampage Pro8699,1025396,3009930,112603,355587,46087
111246,Urban Cruiser8347,1019356,2008698,127153,257571,46976
31003,Park Master5227,1028548,2709945,112085,299866,63256
106385,Airborne X9786,1045073,2104122,83816,327723,76302
35870,Classic Street8451,1023270,2008681,78427,276365,62834
117851,Velocity Max3660,1022247,1602817,92029,354671,68170
101415,Velocity Max4380,1033419,2002209,151274,306733,54364
25965,Cruiser Deluxe6528,1019516,2503025,121841,204238,63062
86563,Park Master8312,1049068,1505128,127761,259932,56577
57493,Speed Demon4774,1049015,1508739,72952,308587,52955
64361,Rampage Pro5621,1021389,2001922,55325,321777,54472
63644,Airborne X9541,1049876,3001801,104120,281239,65415
18785,Freestyle Pro8414,1011608,2004783,94516,207351,58247
35035,Speed Demon1224,1027440,1505830,71573,257691,73393
18668,Airborne X1992,1035496,2504083,104963,308872,82776
91729,Urban Cruiser5109,1034478,1807650,69553,273834,76093
74554,Downhill Racer9064,1039519,2003588,64802,276877,65780
41615,Rampage Pro6560,1011054,2707421,108816,295615,57893
107640,Freestyle Pro4719,1029668,2805002,29897,351211,68842
64125,Street King5596,1024343,2007339,105344,301873,54431
105680,Airborne X6078,1031908,2303077,69195,338722,53255
86003,Rampage Pro1206,1035669,2105586,121670,306650,69472
123471,Velocity Max5508,1028685,2504326,54423,301419,63130
62951,Airborne X7561,1015884,1901782,21291,258688,57356
57210,Thunderbolt5644,1022458,2202138,122731,329367,51320
74410,Cruiser Deluxe5600,1029320,2508949,106307,359997,54789
39282,Thunderbolt6401,1043746,2309424,102540,301810,58397
43614,Cruiser Deluxe3612,1038889,1905874,123206,331758,56875
107609,Urban Cruiser9255,1013708,2702663,66860,292732,79482
119325,Airborne X7127,1018124,2201449,129464,252135,68104
33495,Cruiser Deluxe3037,1035478,2808362,61001,309079,57552
123270,Velocity Max8039,1034649,3006485,126231,225002,53165
115221,Classic Street4379,1022920,2303107,91771,274357,64551
18807,Classic Street2467,1015944,1902093,119708,301082,68500
63352,Urban Cruiser8477,1025242,3009770,158418,204497,61365
19018,Downhill Racer7660,1032704,2806685,156118,204252,62549
22254,Freestyle Pro9526,1035604,1809815,96638,307661,65254
129647,Velocity Max5644,1019589,2105950,55638,271941,56223
88541,Park Master5642,1035493,1504718,107508,272780,51568
81335,Urban Cruiser8070,1025169,1808593,64067,292355,54787
74308,Freestyle Pro7626,1032463,3006985,99005,278405,68479
44525,Park Master1419,1027037,2209088,103765,209878,62709
68536,Urban Cruiser7729,1021426,2205593,55867,206008,66008
26944,Street King5376,1017038,1501792,55190,206704,73476
85073,Speed Demon1836,1016147,2508218,65642,305766,48290
35715,Thunderbolt9138,1036053,2505426,108068,298009,49637
18403,Freestyle Pro4085,1033464,1808783,88298,279295,66872
41305,Speed Demon3220,1028898,2704905,104949,254498,55402
75038,Speed Demon4828,1035221,2809808,24979,255203,59538
14322,Rampage Pro5819,1017436,2507876,24472,299126,77672
121511,Velocity Max5396,1017412,2201004,107794,306330,68678
128379,Freestyle Pro3991,1028221,1509476,117101,307089,63116
61964,Thunderbolt9086,1027093,2308771,108475,351946,53493
113040,Rampage Pro3034,1034345,2309476,152735,271281,57201
104837,Velocity Max6762,1027855,2207154,79437,276356,67612
88632,Airborne X7915,1047044,2703990,157109,226096,77169
127752,Velocity Max7756,1017736,1608294,56989,293980,82459
74654,Thunderbolt2053,1019256,3005247,129765,271998,53701
51307,Classic Street2657,1011429,2102621,92519,201881,88595
94168,Urban Cruiser4812,1027232,1801924,101446,276641,58777
67047,Thunderbolt3154,1039280,2009685,102156,278085,59789
36953,Freestyle Pro1019,1024830,1806506,68563,352054,56262
72582,Freestyle Pro1368,1047210,1605883,129735,202541,52729
17136,Freestyle Pro7233,1039691,2805786,98182,296341,76024
24702,Rampage Pro1217,1047879,2208835,159737,299438,62211
33468,Thunderbolt2399,1018892,3008164,29029,207862,58343
46762,Rampage Pro3075,1037820,2507131,83484,323034,61352
11274,Park Master1294,1042825,2801662,112454,278071,58818
108962,Street King9080,1044185,2505611,101158,355226,64913
117854,Rampage Pro3809,1032501,2106579,119218,256142,67751
12140,Cruiser Deluxe4544,1048043,1509657,79587,288709,68437
42294,Freestyle Pro2678,1042786,1502890,123860,273331,53850
129205,Thunderbolt2248,1038140,1903214,114038,258524,55730
25240,Downhill Racer2694,1011263,2008407,111271,201860,56031
86538,Rampage Pro4976,1029662,2303269,114416,329181,56562
61224,Urban Cruiser9551,1032976,2203181,123318,302421,55063
57037,Thunderbolt8256,1047257,1805038,51540,352647,81177
73597,Street King8792,1018339,2102510,108688,305406,86307
111020,Urban Cruiser8090,1022503,2508867,118436,228622,68294
35571,Street King7022,1018116,2309548,158043,301329,44385
81225,Freestyle Pro9000,1023420,1901861,66765,208963,51312
26697,Rampage Pro6021,1037934,2102230,118386,229596,54394
14665,Freestyle Pro6801,1022304,1509262,159375,279516,61136
41857,Thunderbolt5232,1025323,2703520,157118,271078,53056
118476,Urban Cruiser8331,1026321,2303077,21156,309697,71795
11742,Downhill Racer5106,1039462,2803344,102747,229494,73367
97686,Speed Demon6187,1048833,1606391,157370,299097,85167
102335,Cruiser Deluxe5706,1034252,2806019,123600,201781,63265
44014,Velocity Max8929,1022661,2505636,92903,294814,59442
101257,Park Master3903,1044859,2808002,53388,274083,54191
112773,Velocity Max4857,1026701,2007536,104841,354135,61156
105319,Cruiser Deluxe9588,1047400,1505993,128920,274594,67963
38905,Downhill Racer6852,1022382,1609953,103630,272317,88930
17804,Thunderbolt2850,1047139,2106627,97945,296329,59467
56656,Freestyle Pro7998,1046969,2506669,83103,252112,53068
96341,Classic Street4860,1016244,1903243,23435,205431,59813
98019,Rampage Pro3682,1018631,2807424,52153,275756,58827
69789,Airborne X4956,1018988,1502689,126948,288895,55253
66798,Park Master7632,1014021,2105675,114581,322526,59605
95393,Thunderbolt9764,1027000,2505562,21291,204197,55346
51636,Rampage Pro6621,1047355,2102212,125698,333709,55557
104997,Freestyle Pro2747,1049689,1908949,98074,255939,78046
36680,Speed Demon4592,1045086,2102535,107636,328432,48073
43193,Speed Demon4645,1018880,2706820,77677,304635,85141
21683,Downhill Racer2076,1026522,2807596,111567,292315,69026
26245,Speed Demon3250,1013546,2002403,111518,336646,67272
92161,Speed Demon7049,1042595,1609308,123701,272937,43646
47156,Freestyle Pro4055,1022877,2501600,81115,306042,58788
61289,Downhill Racer8905,1036619,2005493,78233,287522,57665
52079,Speed Demon5281,1041304,2104595,72844,352778,56571
75777,Cruiser Deluxe4169,1024431,2302995,75842,252033,58276
36881,Speed Demon2180,1035463,2506500,95378,294003,53151
12395,Cruiser Deluxe9087,1018365,2502632,62821,359808,65718
128438,Thunderbolt1107,1031746,1507366,153280,285535,69233
25898,Street King7688,1023865,1609981,26108,276111,74786
111026,Park Master1709,1021855,2808511,75937,359166,69234
23518,Airborne X1506,1011697,1906281,125134,272515,58810
26423,Classic Street4369,1044632,2108986,81646,206482,54185
17100,Cruiser Deluxe3989,1032967,2007298,95105,207764,64959
13692,Rampage Pro5485,1015060,1602148,22315,272240,55530
105288,Urban Cruiser7107,1018062,1906441,127767,205777,61007
36421,Freestyle Pro5592,1047962,1503119,25103,307100,54186
29563,Classic Street9697,1031880,2806122,103833,271723,46404
46109,Freestyle Pro1591,1011331,2305432,55555,294919,69651
24877,Speed Demon4059,1018315,1806995,123589,206808,56770
118737,Freestyle Pro9090,1016424,2506288,95424,206919,45581
96922,Downhill Racer9387,1028585,2508634,65593,278831,84632
28564,Velocity Max3680,1014843,2301610,85494,287609,67380
127887,Freestyle Pro4355,1028259,1907005,118099,352504,83609
33062,Rampage Pro2236,1014260,2707591,157701,306757,65725
126490,Freestyle Pro7393,1016574,2701865,73138,351423,61926
105096,Urban Cruiser3795,1018275,1803651,27450,275834,57119
55717,Freestyle Pro3556,1015329,1607837,155455,327366,59411
49100,Freestyle Pro1896,1018389,2006940,115811,207896,53262
85983,Urban Cruiser6488,1048395,1607719,89374,308278,68887
14665,Urban Cruiser2804,1047785,3004043,91094,321381,72774
79692,Freestyle Pro6847,1037397,1603217,82369,321120,59806
26398,Cruiser Deluxe7269,1033583,1804891,85073,279543,68815
34105,Street King1207,1023270,2205755,126881,203954,68637
55232,Street King1375,1049708,2106087,124633,222116,47651
105600,Thunderbolt8492,1024285,1801165,103649,201319,65902
95201,Velocity Max9201,1042213,2305871,72605,279899,66972
81617,Airborne X5919,1023894,1804132,88172,251265,88518
31939,Urban Cruiser9484,1046110,3002458,66228,203974,45725
59179,Velocity Max6267,1022121,3001733,56329,274407,67915
107050,Urban Cruiser8457,1016199,1906157,56916,279209,68840
62038,Cruiser Deluxe6194,1046169,1808546,118331,201185,69708
68969,Freestyle Pro7133,1017299,2808210,153059,354589,64009
114276,Velocity Max9799,1018838,1501221,94788,354698,67983
43542,Downhill Racer4859,1032197,2203161,125619,201272,65326
76764,Freestyle Pro5933,1043948,1601027,127462,276580,51770
32515,Park Master9772,1021089,2508356,123508,273285,62125
33103,Cruiser Deluxe8367,1017439,1507126,126151,224598,68331
78059,Thunderbolt7499,1017424,2708451,125330,334907,75057
51397,Freestyle Pro3257,1015690,1505868,127957,222223,57667
25863,Thunderbolt4229,1049899,1805879,114342,203866,61500
47549,Urban Cruiser7147,1036679,2101811,128006,278455,56959
69713,Street King7263,1012538,2007812,53421,208480,65023
11640,Downhill Racer6932,1047104,2503355,103480,339923,41472
89528,Park Master6442,1045051,1609095,54462,284040,62416
104987,Park Master9089,1045343,1609862,123820,257529,65587
42255,Airborne X1533,1031914,1503991,74351,275033,68484
116066,Velocity Max6163,1043999,2304648,55110,332435,67690
93062,Urban Cruiser8145,1022713,1806179,96170,282285,52773
39663,Rampage Pro1996,1042493,3003810,58269,205057,56382
85238,Park Master7685,1048006,2802491,51368,274073,57588
125821,Cruiser Deluxe7009,1048709,2305579,158250,358912,56152
17737,Airborne X4510,1038629,2008475,52836,273956,55548
122390,Downhill Racer6717,1022798,2205057,102236,323377,76928
45472,Speed Demon7812,1016214,2109211,59751,277558,56785
47655,Thunderbolt4911,1013980,2502842,59412,271106,49929
32935,Rampage Pro7737,1046709,2502169,123360,335734,52555
63711,Airborne X7002,1039538,1501397,92323,276002,69539
45516,Park Master4468,1044345,2805826,74892,277399,78513
103968,Freestyle Pro6381,1015766,2702624,86184,221706,64314
81109,Thunderbolt8717,1043809,2305957,59273,335607,65498
91165,Classic Street3327,1014949,2303731,124453,284130,79350
111814,Freestyle Pro1954,1049014,1509606,102648,298792,42231
69575,Rampage Pro8959,1022882,1804292,65850,309472,86979
74499,Freestyle Pro8598,1012601,2507925,158385,337104,59887
29363,Urban Cruiser8843,1016130,2808458,115027,279828,56535
104572,Downhill Racer5140,1041990,2202742,56911,275575,46566
126840,Cruiser Deluxe4532,1017174,1807993,85263,298906,57297
69933,Thunderbolt4948,1021300,3009329,22002,272009,67735
68997,Cruiser Deluxe6928,1043368,1803701,88684,301153,51557
77186,Freestyle Pro6645,1028861,3006371,74512,278362,57767
121743,Freestyle Pro2798,1017880,2303035,151822,337664,79677
69586,Cruiser Deluxe7599,1015169,1908335,91410,301808,62860
22488,Airborne X1053,1037914,2001646,72557,274655,45819
78738,Rampage Pro5121,1043395,2507102,121345,256238,57454
64076,Thunderbolt2868,1029063,2205302,59691,286734,52052
105692,Airborne X4824,1043936,2108885,27220,206419,57885
52155,Speed Demon8297,1044878,1903006,156830,294619,51765
43788,Rampage Pro8213,1024978,1801704,74194,354235,85070
58907,Airborne X3169,1045757,2003165,83633,351358,52841
94240,Rampage Pro1141,1031458,1501468,89706,274879,48639
56249,Classic Street2657,1014024,1508801,87326,206377,71955
83923,Downhill Racer3757,1025903,2806882,108092,336639,65299
54351,Urban Cruiser3233,1034299,1803022,22386,279476,62017
56162,Downhill Racer2847,1011533,2508636,26588,335969,69911
39068,Classic Street8304,1037364,3003134,79437,222669,53504
86941,Thunderbolt4019,1044705,2105461,23359,307718,51794
95431,Downhill Racer8062,1013178,2705865,63094,204523,88779
98432,Thunderbolt9076,1021484,1905624,65877,204355,62777
74425,Park Master3106,1036424,1609969,119639,295115,56640
63772,Downhill Racer2287,1024868,2504270,99169,258755,82654
54996,Park Master6247,1025315,2704067,121019,275372,89654
128234,Freestyle Pro6107,1035475,1609909,102812,258953,59228
16899,Thunderbolt9840,1021732,3005780,58766,258564,43437
102557,Speed Demon4260,1024441,2106704,113251,355768,77422
61052,Freestyle Pro7715,1025916,2109180,115443,284632,62517
51606,Freestyle Pro9024,1028589,2005146,76201,336119,56746
116037,Park Master1182,1048272,1504233,119765,278691,59792
66781,Airborne X9013,1014006,3005227,116597,205364,57843
53600,Thunderbolt6166,1013090,2702231,58762,277689,59423
71450,Airborne X7790,1044745,2102509,159081,258491,58569
128325,Urban Cruiser1742,1019140,2803710,91588,338468,68980
81177,Speed Demon6840,1031896,2702446,82377,323775,88244
17542,Urban Cruiser8590,1034063,3002426,74375,325287,64781
54797,Downhill Racer4099,1045708,2805609,121073,201632,57327
23302,Downhill Racer9419,1039134,1605002,111689,227621,52899
39746,Street King2444,1028046,1903909,129488,331022,62444
49020,Speed Demon4316,1044052,2805347,106397,272813,53863
78301,Speed Demon9760,1026284,1505669,116929,277086,52585
21973,Freestyle Pro3099,1043427,2307731,26208,321414,82479
113574,Park Master4334,1028114,2106671,127695,252058,65771
78073,Airborne X5078,1045880,1508510,27176,225602,61177
84827,Park Master5327,1031153,2001274,122994,299529,58954
17569,Downhill Racer8147,1033920,3007689,103428,228966,61851
32378,Rampage Pro5158,1025936,2303894,107759,305635,72578
81755,Rampage Pro1727,1012040,2708216,54881,308843,52496
67900,Urban Cruiser6518,1013776,1609330,96083,293734,51119
27204,Downhill Racer4124,1047003,2506605,82049,223986,45320
64108,Thunderbolt9644,1031027,2504082,54589,204341,58190
93107,Classic Street1513,1039187,1804382,102841,285183,66635
58271,Speed Demon9090,1018798,2506441,156168,221639,52067
71123,Rampage Pro8136,1027685,1604667,115389,274427,56332
121241,Airborne X4142,1027112,2809625,79503,225926,65429
15176,Thunderbolt6802,1032840,1902292,103459,206093,79135
63217,Park Master7699,1021423,1609633,94050,309117,52015
107791,Freestyle Pro1247,1018141,1903596,53877,309361,61390
74819,Park Master1304,1019376,2704122,128487,288626,87044
16682,Thunderbolt1407,1049644,2708951,62290,283067,67886
35814,Urban Cruiser2793,1018288,2709370,105975,353424,62137
89252,Cruiser Deluxe6289,1041526,1903657,112572,291502,41582
106641,Urban Cruiser1213,1012609,1506821,86452,201265,59800
78540,Rampage Pro6143,1048147,2501150,127328,305420,77949
127607,Speed Demon3679,1026459,2706694,106934,334016,42541
53305,Speed Demon4103,1038425,1809691,157062,334046,64970
19213,Thunderbolt3821,1026578,2701773,97920,332688,54866
123428,Rampage Pro2353,1033272,2809251,128000,221261,82928
106398,Downhill Racer3904,1028467,3002854,27420,359427,77697
97375,Downhill Racer9881,1046773,2504589,112161,206960,57083
57370,Rampage Pro9938,1026043,1502948,126933,291512,53287
38727,Downhill Racer4097,1023157,2009835,85866,256421,58236
57436,Urban Cruiser6481,1012786,2308413,127371,205680,59698
77010,Airborne X8925,1013852,3001963,127565,359654,58780
17174,Classic Street2190,1037914,2501812,126932,287035,71535
58230,Airborne X8140,1041180,2206233,86918,277130,43053
48380,Park Master1074,1038519,1903441,96751,221109,66029
63624,Airborne X6120,1034170,3001676,115608,324545,51986
45159,Downhill Racer8231,1039322,1903811,22549,286297,61066
84230,Park Master2557,1012667,2009693,111785,224843,72243
39450,Downhill Racer8524,1038052,2106865,95385,275405,59140
27405,Velocity Max9790,1038505,1602260,124545,294808,56170
89613,Park Master6508,1011449,2808271,72752,253406,62036
74927,Cruiser Deluxe8549,1038368,2101247,153450,357034,64428
111431,Thunderbolt2766,1034081,1503585,101790,207871,87959
85528,Freestyle Pro5499,1039205,3004178,86764,225364,51878
119755,Speed Demon8820,1044643,2509940,128454,291903,46641
64913,Rampage Pro5576,1042122,3006009,126938,308712,52100
64425,Velocity Max6510,1015234,1908105,101316,279267,44507
121321,Downhill Racer4839,1014127,2805360,58637,203836,44048
79682,Freestyle Pro4358,1019441,1608791,128112,206854,54776
18161,Park Master8702,1031453,1507246,71232,353152,66475
51582,Downhill Racer6208,1045911,2107876,85587,331233,52215
29123,Speed Demon3327,1016110,2205768,158417,254703,51281
28107,Freestyle Pro5238,1027377,1808307,123092,257522,69010
52367,Downhill Racer8815,1034274,1809935,121050,298351,61835
101701,Freestyle Pro5699,1037426,3001945,159972,329577,63386
52098,Classic Street7796,1016354,1906637,98262,305735,66703
25331,Downhill Racer6381,1014780,1609319,153070,306116,64439
36526,Rampage Pro2020,1031002,2707241,152129,358526,69264
12962,Cruiser Deluxe1949,1038692,2803579,24079,255212,56275
51981,Speed Demon7769,1039171,2806880,121715,352322,62999
121603,Cruiser Deluxe5784,1045629,3002545,115885,207576,43921
43132,Downhill Racer4901,1047802,2709910,21009,285204,69691
27250,Velocity Max6243,1029178,3001309,109039,306923,66896
128295,Speed Demon2435,1033243,2808836,113240,272331,52892
29125,Street King5419,1033832,1503199,152300,209925,61476
13870,Airborne X3588,1016251,1603243,127613,225855,63456
65858,Airborne X2431,1043581,3006449,102009,295384,78401
14894,Thunderbolt3762,1025386,2503275,77011,275878,62488
106975,Velocity Max4164,1022319,2308385,95780,289955,53336
39766,Freestyle Pro3315,1046396,1604277,58129,351954,52110
22303,Speed Demon6610,1029247,2102600,155142,302397,59028
109862,Street King5393,1021191,2501480,78324,209265,68384
29082,Thunderbolt1206,1049475,3007536,88902,328122,53635
55984,Park Master2864,1044290,1802288,155185,205433,77101
115358,Cruiser Deluxe1283,1027065,2501490,104464,336599,84706
69420,Rampage Pro2350,1047840,3008230,22677,274214,53832
34006,Urban Cruiser2485,1047379,2202944,73926,305273,63053
127531,Speed Demon6731,1025186,2209892,25423,272801,43955
96327,Classic Street9511,1048149,3008377,81161,251691,88441
66531,Rampage Pro1460,1014547,1609266,124881,354571,56502
14772,Velocity Max7286,1016094,1802487,121470,229789,57041
117440,Downhill Racer9216,1012647,2203987,117086,279369,53597
44369,Speed Demon7269,1033727,2003045,63480,301768,59086
78670,Urban Cruiser2188,1045347,1802241,72946,321999,89836
93431,Street King3611,1048627,2006688,53416,307711,82988
74526,Urban Cruiser9236,1046835,2507960,101002,204395,49329
94254,Street King6143,1043719,1905135,158707,331117,69315
92386,Freestyle Pro5899,1011240,2804945,92336,304231,46428
124669,Urban Cruiser8031,1049200,1904549,91487,274116,44319
108118,Airborne X5065,1049155,2702457,28719,352833,72244
88174,Freestyle Pro2730,1037246,1606526,109858,334412,62058
93011,Park Master6397,1045737,2708272,21518,358863,61348
62076,Street King6418,1011254,2308020,126293,331836,45175
27248,Cruiser Deluxe1481,1034719,1505612,126487,309116,59195
99313,Airborne X1647,1049750,2008466,59117,276846,54515
